證券代碼	年月日	當日均價(元)	當日成交量
006208 富邦台50	20190411	46.5605	86.484
006208 富邦台50	20190412	46.3743	55.506
0050 元大台灣50	20190412	81.1302	7498.41
0050 元大台灣50	20190415	81.8194	7681.55
006208 富邦台50	20190415	46.6939	81.948
0050 元大台灣50	20190416	82.0072	7767.93
006208 富邦台50	20190416	46.9314	189.375
006208 富邦台50	20190417	47.3928	78.105
0050 元大台灣50	20190417	82.7455	23104.8
0050 元大台灣50	20190418	82.9632	20690.4
006208 富邦台50	20190418	47.5947	72.794
0050 元大台灣50	20190419	82.9893	12515.7
006208 富邦台50	20190419	47.4098	81.131
006208 富邦台50	20190422	47.5091	89.981
0050 元大台灣50	20190422	82.8834	2874.31
0050 元大台灣50	20190423	82.9334	6012.03
006208 富邦台50	20190423	47.502	56.654
0050 元大台灣50	20190424	83.2722	3108.56
006208 富邦台50	20190424	47.6832	56.974
0050 元大台灣50	20190425	83.2778	3529.04
006208 富邦台50	20190425	47.6747	57.944
0050 元大台灣50	20190426	82.4413	3815.09
006208 富邦台50	20190426	47.2726	175.719
0050 元大台灣50	20190429	82.6906	3161.96
006208 富邦台50	20190429	47.4556	51.652
0050 元大台灣50	20190430	82.6601	3247.89
006208 富邦台50	20190430	47.3223	52.236
0050 元大台灣50	20190502	83.1351	6155.56
006208 富邦台50	20190502	47.5667	90.171
006208 富邦台50	20190503	47.8156	73.141
0050 元大台灣50	20190503	83.4771	30324.5
006208 富邦台50	20190506	47.2721	249.558
0050 元大台灣50	20190506	82.292	7463.61
0050 元大台灣50	20190507	83.0393	14011.4
006208 富邦台50	20190507	47.4932	80.412
0050 元大台灣50	20190508	82.5488	13573.1
006208 富邦台50	20190508	47.3676	75.912
0050 元大台灣50	20190509	81.6544	6923.67
006208 富邦台50	20190509	46.7387	106.352
006208 富邦台50	20190510	46.6066	104.543
0050 元大台灣50	20190510	81.4826	11794.1
006208 富邦台50	20190513	46.1207	254.976
0050 元大台灣50	20190513	80.4913	18678.1
006208 富邦台50	20190514	45.5606	127.421
0050 元大台灣50	20190514	79.5622	20279.6
0050 元大台灣50	20190515	79.7491	17261.8
006208 富邦台50	20190515	45.7064	186.896
0050 元大台灣50	20190516	79.2451	17100
006208 富邦台50	20190516	45.4224	326.82
006208 富邦台50	20190517	44.9984	358.847
0050 元大台灣50	20190517	78.6699	23573.8
0050 元大台灣50	20190520	78.4054	14304.8
006208 富邦台50	20190520	44.7817	208.227
0050 元大台灣50	20190521	78.1266	19814.8
006208 富邦台50	20190521	44.6588	301.143
0050 元大台灣50	20190522	78.3583	10558
006208 富邦台50	20190522	44.7898	244.417
0050 元大台灣50	20190523	77.095	25682.6
006208 富邦台50	20190523	43.9515	497.688
0050 元大台灣50	20190524	77.2047	6029.42
006208 富邦台50	20190524	44.0015	157.915
006208 富邦台50	20190527	43.934	310.025
0050 元大台灣50	20190527	77.1222	11541.1
0050 元大台灣50	20190528	77.0199	9812.31
006208 富邦台50	20190528	43.8971	133.603
0050 元大台灣50	20190529	76.6123	9659.52
006208 富邦台50	20190529	43.5978	135.266
0050 元大台灣50	20190530	77.2752	7658.66
006208 富邦台50	20190530	43.8823	92.435
006208 富邦台50	20190531	44.4592	97.041
0050 元大台灣50	20190531	78.0592	7566.31
006208 富邦台50	20190603	44.5355	86.712
0050 元大台灣50	20190603	78.2016	6017.69
006208 富邦台50	20190604	44.6198	141.546
0050 元大台灣50	20190604	78.2181	7228.83
0050 元大台灣50	20190605	78.563	7051.89
006208 富邦台50	20190605	44.6863	109.953
0050 元大台灣50	20190606	77.6824	7456.2
006208 富邦台50	20190606	44.3061	305.375
0050 元大台灣50	20190610	78.8052	7666.76
006208 富邦台50	20190610	44.9276	143.152
0050 元大台灣50	20190611	79.4762	10624
006208 富邦台50	20190611	45.3727	165.739
006208 富邦台50	20190612	45.3953	89.07
0050 元大台灣50	20190612	79.5881	9258.3
0050 元大台灣50	20190613	79.2005	5914.94
006208 富邦台50	20190613	45.2228	107.808
0050 元大台灣50	20190614	78.9527	3164.09
006208 富邦台50	20190614	45.0149	111.646
006208 富邦台50	20190617	44.9017	249.774
0050 元大台灣50	20190617	78.6586	6141.13
006208 富邦台50	20190618	44.9444	97.086
0050 元大台灣50	20190618	78.8061	2890.38
0050 元大台灣50	20190619	80.3508	21832.5
006208 富邦台50	20190619	45.7777	172.697
006208 富邦台50	20190620	46.0143	111.696
0050 元大台灣50	20190620	80.8651	11582
006208 富邦台50	20190621	46.2073	196.274
0050 元大台灣50	20190621	81.031	15343.5
006208 富邦台50	20190624	46.2619	129.09
0050 元大台灣50	20190624	81.1481	16600.7
0050 元大台灣50	20190625	81.0562	7941.13
006208 富邦台50	20190625	46.1302	97.292
0050 元大台灣50	20190626	80.4225	5913.35
006208 富邦台50	20190626	45.8927	501.559
0050 元大台灣50	20190627	81.3438	15351.3
006208 富邦台50	20190627	46.3698	173.357
0050 元大台灣50	20190628	81.0441	3940.69
006208 富邦台50	20190628	46.3	265.685
0050 元大台灣50	20190701	82.5928	13771.4
006208 富邦台50	20190701	47.1238	293.2
0050 元大台灣50	20190702	82.5119	5209.29
006208 富邦台50	20190702	47.0911	141.359
0050 元大台灣50	20190703	81.6453	8615.42
